Parent Account,Test Name,Test Key,Date Taken,Time Taken,Test Taker ID,Numeric Score,Elapsed Time,Grade,INDEX_NUM,QNUM,QTIME,QNID,QUESTION,FINAL,WRONG,LEVEL1,TOPIC,COMMENTS
MANPOWER-US,Ultradex Coordinated Rapid Movement,EN_UD1CR,20101222,18:02:52,q,56.0,00:02,0,12068242,1,2,Q001,Topic1,CORRECT,Correct,BEG,Topic1,
MANPOWER-US,Ultradex Coordinated Rapid Movement,EN_UD1CR,20101223,9:31:58,q,59.0,00:05,0,12069546,1,5,Q001,Topic1,CORRECT,Correct,BEG,Topic1,
MANPOWER-US,Ultradex Coordinated Rapid Movement,EN_UD1CR,20101223,9:43:47,q,58.0,00:05,0,12069571,1,5,Q001,Topic1,CORRECT,Correct,BEG,Topic1,
MANPOWER-US,Ultradex Coordinated Rapid Movement,EN_UD1CR,20101223,11:21:11,q,58.0,00:05,0,12069944,1,5,Q001,Topic1,CORRECT,Correct,BEG,Topic1,
MANPOWER-US,Ultradex (1) Sorting,EN_UD1SC,20101222,18:08:02,q,74.0,00:07,0,12068260,1,7,Q001,Topic1,CORRECT,Correct,BEG,Topic1,
MANPOWER-US,Ultradex Checking Special Inventory,ENMPULCS,20101222,16:25,123123,0.0,1,0,12067838,1,23,Q_FillInTheBlankImpl_260173,CSI Sample 01,UNSCORED,38D8942,BEG,INTRODUCTION SAMPLES,<none>
MANPOWER-US,Ultradex Checking Special Inventory,ENMPULCS,20101222,16:25,123123,0.0,1,0,12067838,2,4,Q_FillInTheBlankImpl_260174,CSI001,INCORRECT,38D8942,BEG,CHECKING SPECIAL INVENTORY,<none>
MANPOWER-US,Ultradex Checking Special Inventory,ENMPULCS,20101222,16:25,123123,0.0,1,0,12067838,3,3,Q_FillInTheBlankImpl_260175,CSI002,INCORRECT,38D8942,BEG,CHECKING SPECIAL INVENTORY,<none>
MANPOWER-US,Ultradex Checking Special Inventory,ENMPULCS,20101222,16:25,123123,0.0,1,0,12067838,4,2,Q_FillInTheBlankImpl_260176,CSI003,INCORRECT,38D8942,BEG,CHECKING SPECIAL INVENTORY,<none>
MANPOWER-US,Ultradex Checking Special Inventory,ENMPULCS,20101222,16:25,123123,0.0,1,0,12067838,5,2,Q_FillInTheBlankImpl_260177,CSI004,INCORRECT,38D8942,BEG,CHECKING SPECIAL INVENTORY,<none>
MANPOWER-US,Ultradex Checking Special Inventory,ENMPULCS,20101222,16:25,123123,0.0,1,0,12067838,6,2,Q_FillInTheBlankImpl_260178,CSI005,INCORRECT,38D8942,BEG,CHECKING SPECIAL INVENTORY,<none>

