Test ID,Test Name,Token Value,Mobile Applicable?,Is Public?,Test Type,Test Description,Item Count,Estimated Time,category:Accounting Knowledge,category:Accounting Office,category:Banking,category:Behavioral + Cognitive Profile,category:Behavioral Profile,category:Call Center,category:Clerical Office,category:Digital Literacy,category:Food Services,category:Gaming,category:Industrial,category:IT Skills,category:Legal,category:Medical Knowledge,category:Medical Office,category:Microsoft Office Skills,category:Nursing,category:Retail Sales,category:Software Skills,category:Staffing Services Management,industry:Banking/Finance,industry:Food Services,industry:Gaming/Hospitality,industry:Healthcare,industry:Information Technology,industry:Legal Services,industry:Manufacturing/Logistics,industry:Retail,industry:Staffing Services,language:Dutch,language:English,language:English for Australia,language:English for Canada,language:English for New Zealand,language:English for South Africa,language:English for UK,language:French,language:French Canadian,language:German,language:Italian,language:Spanish,language:Spanish for North America,level:Advanced Skills,level:Basic Skills,level:Entry Level Behavioral/Cognitive,level:Management Level Behavioral/Cognitive,level:Professional Level Behavioral/Cognitive,level:Standard Skills,productGroup:Accounting,productGroup:Bank Teller,productGroup:Behavioral/Cognitive Profile,productGroup:Call Center Skills,productGroup:Checking,productGroup:Coding,productGroup:Customer Service,productGroup:Data Entry,productGroup:DeltaView,productGroup:Digital Literacy,productGroup:Eclipse,productGroup:Filing,productGroup:Finance,productGroup:Food Service Skills,productGroup:Gaming Skills,productGroup:Grammar,productGroup:HIPAA,productGroup:Industrial Safety,productGroup:Industrial Skills,productGroup:Legal Knowledge,productGroup:Light Industrial Skills,productGroup:Lotus Notes,productGroup:Math,productGroup:Medical Knowledge,productGroup:Medical Office Skills,productGroup:Microsoft Access,productGroup:Microsoft Excel,productGroup:Microsoft FrontPage,productGroup:Microsoft Internet Explorer,productGroup:Microsoft Outlook,productGroup:Microsoft PowerPoint,productGroup:Microsoft Project,productGroup:Microsoft Publisher,productGroup:Microsoft Windows,productGroup:Microsoft Word,productGroup:MYOB,productGroup:Nursing Knowledge,productGroup:Office Manager Skills,productGroup:Peachtree,productGroup:Postal Codes,productGroup:Programming Skills,productGroup:Proofreading,productGroup:QuickBooks,productGroup:Reading Comprehension,productGroup:Receptionist Skills,productGroup:Retail Sales Skills,productGroup:Secretarial Skills,productGroup:Shorthand,productGroup:Spelling,productGroup:Staffing Knowledge,productGroup:Telemarketing Skills,productGroup:Telephone Skills,productGroup:Ten Key Test,productGroup:Transcription,productGroup:Translation - Spanish to English,productGroup:Typing Test,productGroup:Vocabulary,productGroup:Workplace English Usage (Spanish)
260090,"Gaming - Blackjack",1,false,true,Standard,"Test takers are required to apply knowledge of blackjack rules to determine the value of hands composed of different combinations of cards.",25,20 minutes,,,,,,,,,,Gaming,,,,,,,,,,,,,Gaming/Hospitality,,,,,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,Gaming Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260091,"Gaming - Chip Counting",1,false,true,Standard,"Test takers are required to correctly count and determine the value of gaming chips.",25,20 minutes,,,,,,,,,,Gaming,,,,,,,,,,,,,Gaming/Hospitality,,,,,,,,English,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,Gaming Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU_ACCAY,"Accounting - Accounts Payable (Aust)",1,false,true,Standard,"This test contains questions on common knowledge and skills required by someone managing accounts payable including standard accounts payable concepts, procedures and calculations.",35,25 minutes,,,,,,,,,,,,,,,,,,,,,Banking/Finance,Food Services,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,,,,,,,,,,Standard Skills,Accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU_ACCCC,"Accounting - Accountant (Aust)",1,false,true,Standard,"This test contains questions on common skills required by an accountant, such as accounts payable, accounts receivable, depreciation, inventory, terminology, and general accounting practices.",40,25 minutes,,,,,,,,,,,,,,,,,,,,,Banking/Finance,Food Services,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,,,,,,,,,,Standard Skills,Accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU_ACCEC,"Accounting - Accounts Receivable (Aust)",1,false,true,Standard,"This test contains questions on accounts receivable skills, such as journal entries, identifying statement debits and credits, cash receipts, terms, early payment discounts as wells as terminology and general accounting practices.",23,25 minutes,,,,,,,,,,,,,,,,,,,,,Banking/Finance,Food Services,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,,,,,,,,,,Standard Skills,Accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU_ACCER,"Accounting - Terminology (Aust)",1,false,true,Standard,"This test contains questions on common skills required by an accountant, such as accounts payable, accounts receivable, depreciation, inventory, terminology, and general accounting practices.",35,25 minutes,,,,,,,,,,,,,,,,,,,,,Banking/Finance,Food Services,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,,,,,,,,,,Standard Skills,Accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU_ACCOC,"Accounting - Business Documents (Aust)",1,false,true,Standard,"This test contains questions on understanding Business Documents, such as checks, invoices, statements, shipping notes, credit notes as well as creating invoices and posting journal entries.",35,25 minutes,,,,,,,,,,,,,,,,,,,,,Banking/Finance,Food Services,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,,,,,,,,,,Standard Skills,Accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU_ACCOS,"Accounting - Cost Accounting (Aust)",1,false,true,Standard,"This test contains questions on Cost Accounting, such as identifying Includable and Excludable expenses, deferred costs, as well as relevant terminology.",12,25 minutes,,,,,,,,,,,,,,,,,,,,,Banking/Finance,Food Services,Gaming/Hospitality,Healthcare,Information Technology,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,,,,,,,,,,Standard Skills,Accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU_FILNA,"Filing - Names (Aust)",1,false,true,Standard,"Examinees must select the correct location for filing documents based on names and companies.",30,10 minutes,,,,,,,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,,Healthcare,,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU_FILNU,"Filing - Numbers (Aust)",1,false,true,Standard,"Examinees must select the correct location for filing documents based on dates and  numbers.",38,15 minutes,,,,,,,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,,Healthcare,,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU_FILST,"Filing - Standard (Aust)",1,false,true,Standard,"Examinees must select the correct location for filing documents based on dates, numbers, names and companies.",30,15 minutes,,,,,,,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,,Healthcare,,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU_FLDAL,"AU Data Entry Test - Alphanumeric (F)",1,false,true,Standard,"The applicant is asked to type names and addresses using the keyboard.  Scores are based on speed and accuracy of input.",0,5 minutes,,,,,,Call Center,Clerical Office,,,,,,,,,,,,,,Banking/Finance,,Gaming/Hospitality,Healthcare,,Legal Services,Manufacturing/Logistics,Retail,,,,,,,,,,,,,,,,,,,,Standard Skills,,,,,,,,Data Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
