[Accountability] : 7,-1 -> 9
[Achievement] : -1,5 -> 26
[Adaptability] : 0,0 -> 100
[Autonomy] : -5,-1 -> 55
[Communication] : -4,-1 -> 71
[Compliance] : 6,-3 -> 4
[Diversity] : 1,0 -> 96
[Excellence] : 0,-2 -> 86
[Innovation] : 2,-1 -> 71
[Integrity] : 2,-1 -> 71
[Learning] : 0,0 -> 100
[Passion] : 0,-6 -> 26
[People] : 2,-8 -> 2
[Quality] : -5,-1 -> 55
[Results] : 4,1 -> 71
[Service] : 0,-3 -> 71
[Simplicity] : 2,-3 -> 39
[Sustainability] : -2,6 -> 9
[Teamwork] : -1,-5 -> 55
Average rating: 53.526315789473685
[Accountability] : 0,-1 -> 96
[Achievement] : -1,-4 -> 71
[Adaptability] : 1,2 -> 96
[Autonomy] : 2,0 -> 86
[Communication] : 4,1 -> 71
[Compliance] : 5,5 -> 100
[Diversity] : -2,-1 -> 96
[Excellence] : 6,1 -> 39
[Innovation] : 1,0 -> 96
[Integrity] : 6,1 -> 39
[Learning] : -5,-5 -> 100
[Passion] : 0,5 -> 39
[People] : -4,-2 -> 86
[Quality] : -1,1 -> 86
[Results] : 1,0 -> 96
[Service] : -2,1 -> 71
[Simplicity] : -2,3 -> 39
[Sustainability] : 1,-6 -> 16
[Teamwork] : 0,3 -> 71
Average rating: 73.36842105263158
[Accountability] : 0,0 -> 100
[Achievement] : 6,0 -> 26
[Adaptability] : 7,-4 -> 1
[Autonomy] : 4,4 -> 100
[Communication] : 7,-3 -> 2
[Compliance] : -1,1 -> 86
[Diversity] : 1,3 -> 86
[Excellence] : -5,-1 -> 55
[Innovation] : 2,0 -> 86
[Integrity] : -1,-6 -> 39
[Learning] : -1,3 -> 55
[Passion] : -3,-2 -> 96
[People] : -1,-8 -> 16
[Quality] : 2,2 -> 100
[Results] : 0,-1 -> 96
[Service] : -1,2 -> 71
[Simplicity] : 1,5 -> 55
[Sustainability] : -2,-1 -> 96
[Teamwork] : -3,0 -> 71
Average rating: 65.10526315789474
[Accountability] : 4,1 -> 71
[Achievement] : 6,-1 -> 16
[Adaptability] : -1,2 -> 71
[Autonomy] : -3,-5 -> 86
[Communication] : -3,-5 -> 86
[Compliance] : -6,-10 -> 55
[Diversity] : -2,-2 -> 100
[Excellence] : -10,-5 -> 39
[Innovation] : -5,-3 -> 86
[Integrity] : -3,-4 -> 96
[Learning] : 3,0 -> 71
[Passion] : 0,-2 -> 86
[People] : 5,10 -> 39
[Quality] : 4,-7 -> 1
[Results] : 6,9 -> 71
[Service] : 3,5 -> 86
[Simplicity] : 6,1 -> 39
[Sustainability] : 3,4 -> 96
[Teamwork] : -1,0 -> 96
Average rating: 67.94736842105263
[Accountability] : 2,1 -> 96
[Achievement] : -2,-1 -> 96
[Adaptability] : -2,-5 -> 71
[Autonomy] : -3,1 -> 55
[Communication] : 1,-3 -> 55
[Compliance] : 6,5 -> 96
[Diversity] : 0,5 -> 39
[Excellence] : 4,3 -> 96
[Innovation] : 2,-1 -> 71
[Integrity] : 4,4 -> 100
[Learning] : -1,1 -> 86
[Passion] : 5,0 -> 39
[People] : -1,1 -> 86
[Quality] : 1,-1 -> 86
[Results] : -3,5 -> 9
[Service] : -7,4 -> 1
